,Name,Price,Team 1,Position,Round,Team 2,Score,id,pl_pos_id,is_selected
154,Luke Dahlhaus,506000,Cats,FO,10,Suns,83.0,R:10_P:Luke Dahlhaus,R:10_P:Luke Dahlhaus_FO,1
155,Luke Dahlhaus,506000,Cats,FO,14,Bulldogs,59.0,R:14_P:Luke Dahlhaus,R:14_P:Luke Dahlhaus_FO,1
156,Luke Dahlhaus,506000,Cats,FO,16,Bombers,68.9,R:16_P:Luke Dahlhaus,R:16_P:Luke Dahlhaus_FO,1
157,Luke Dahlhaus,506000,Cats,FO,19,Tigers,70.4,R:19_P:Luke Dahlhaus,R:19_P:Luke Dahlhaus_FO,1
158,Luke Dahlhaus,506000,Cats,FO,21,Giants,75.81818181818181,R:21_P:Luke Dahlhaus,R:21_P:Luke Dahlhaus_FO,1
159,Luke Dahlhaus,506000,Cats,FO,11,Magpies,78.05,R:11_P:Luke Dahlhaus,R:11_P:Luke Dahlhaus_FO,1
160,Luke Dahlhaus,506000,Cats,FO,13,Power,65.5,R:13_P:Luke Dahlhaus,R:13_P:Luke Dahlhaus_FO,1
161,Luke Dahlhaus,506000,Cats,FO,15,Lions,68.2,R:15_P:Luke Dahlhaus,R:15_P:Luke Dahlhaus_FO,1
162,Luke Dahlhaus,506000,Cats,FO,17,Blues,69.0,R:17_P:Luke Dahlhaus,R:17_P:Luke Dahlhaus_FO,1
163,Luke Dahlhaus,506000,Cats,FO,18,Dockers,63.8,R:18_P:Luke Dahlhaus,R:18_P:Luke Dahlhaus_FO,1
164,Luke Dahlhaus,506000,Cats,FO,20,Kangaroos,69.0,R:20_P:Luke Dahlhaus,R:20_P:Luke Dahlhaus_FO,1
165,Joel Selwood,596000,Cats,MI,2,Lions,94.13636363636364,R:2_P:Joel Selwood,R:2_P:Joel Selwood_MI,1
166,Joel Selwood,596000,Cats,MI,3,Hawks,91.18181818181819,R:3_P:Joel Selwood,R:3_P:Joel Selwood_MI,1
167,Joel Selwood,596000,Cats,MI,5,Kangaroos,91.27272727272727,R:5_P:Joel Selwood,R:5_P:Joel Selwood_MI,1
168,Joel Selwood,596000,Cats,MI,6,Eagles,88.0,R:6_P:Joel Selwood,R:6_P:Joel Selwood_MI,1
169,Joel Selwood,596000,Cats,MI,10,Suns,101.0909090909091,R:10_P:Joel Selwood,R:10_P:Joel Selwood_MI,1
170,Joel Selwood,596000,Cats,MI,14,Bulldogs,49.36363636363637,R:14_P:Joel Selwood,R:14_P:Joel Selwood_MI,1
171,Joel Selwood,596000,Cats,MI,16,Bombers,75.0909090909091,R:16_P:Joel Selwood,R:16_P:Joel Selwood_MI,1
172,Joel Selwood,596000,Cats,MI,19,Tigers,103.22727272727273,R:19_P:Joel Selwood,R:19_P:Joel Selwood_MI,1
173,Joel Selwood,596000,Cats,MI,21,Giants,87.16666666666667,R:21_P:Joel Selwood,R:21_P:Joel Selwood_MI,1
174,Joel Selwood,596000,Cats,MI,22,Saints,99.63636363636364,R:22_P:Joel Selwood,R:22_P:Joel Selwood_MI,1
175,Joel Selwood,596000,Cats,MI,23,Demons,97.54545454545455,R:23_P:Joel Selwood,R:23_P:Joel Selwood_MI,1
176,Joel Selwood,596000,Cats,MI,4,Demons,97.54545454545455,R:4_P:Joel Selwood,R:4_P:Joel Selwood_MI,1
177,Joel Selwood,596000,Cats,MI,7,Swans,110.0,R:7_P:Joel Selwood,R:7_P:Joel Selwood_MI,1
178,Joel Selwood,596000,Cats,MI,8,Tigers,103.22727272727273,R:8_P:Joel Selwood,R:8_P:Joel Selwood_MI,1
179,Joel Selwood,596000,Cats,MI,9,Saints,99.63636363636364,R:9_P:Joel Selwood,R:9_P:Joel Selwood_MI,1
180,Joel Selwood,596000,Cats,MI,11,Magpies,97.0909090909091,R:11_P:Joel Selwood,R:11_P:Joel Selwood_MI,1
181,Joel Selwood,596000,Cats,MI,13,Power,86.95454545454545,R:13_P:Joel Selwood,R:13_P:Joel Selwood_MI,1
182,Joel Selwood,596000,Cats,MI,15,Lions,94.13636363636364,R:15_P:Joel Selwood,R:15_P:Joel Selwood_MI,1
183,Joel Selwood,596000,Cats,MI,17,Blues,100.72727272727273,R:17_P:Joel Selwood,R:17_P:Joel Selwood_MI,1
184,Joel Selwood,596000,Cats,MI,18,Dockers,69.63636363636364,R:18_P:Joel Selwood,R:18_P:Joel Selwood_MI,1
185,Joel Selwood,596000,Cats,MI,20,Kangaroos,91.27272727272727,R:20_P:Joel Selwood,R:20_P:Joel Selwood_MI,1
186,Tom Hickey,418000,Eagles,RU,14,Tigers,18.2,R:14_P:Tom Hickey,R:14_P:Tom Hickey_RU,1
187,Tom Hickey,418000,Eagles,RU,12,Blues,19.7,R:12_P:Tom Hickey,R:12_P:Tom Hickey_RU,1
